Jogador;gols_totais;ass_totais;xG_totais;npxG_totais;xAG_totais;SCA_totais;GCA_totais;PrgP_totais;PrgC_totais;conducoes_totais;tent_drible_totais;suc_drible_totais;bloqueios_totais;amarelos_totais;vermelhos_totais;minutos_totais;G/90;A/90;xG/90;npxG/90;xAG/90;SCA/90;GCA/90;PrgP/90;PrgC/90;Conducoes/90;Tent/90;Suc/90;Bloq/90;Am/90;Vm/90;G+A;G+A/90;G-xG;xG+xAG;xG+xAG/90;Drible%
Yuri Alberto;15;4;10.7;8.3;1.6;63.0;10.0;31.0;52.0;416.0;52.0;21.0;11.0;6;1;2197.0;0.6144742831133364;0.16385980883022302;0.43832498862084657;0.3400091033227128;0.06554392353208921;2.5807919890760127;0.40964952207555755;1.2699135184342285;2.130177514792899;17.041420118343193;2.130177514792899;0.860263996358671;0.45061447428311335;0.24578971324533455;0.040964952207555756;19;0.7783340919435594;4.300000000000001;12.299999999999999;0.5038689121529357;0.40384615384615385
Alerrandro;15;4;11.0;7.8;2.6;68.0;7.0;55.0;16.0;391.0;24.0;10.0;29.0;4;0;2387.0;0.5655634687892752;0.1508169250104734;0.4147465437788018;0.29409300377042313;0.0980310012568077;2.5638877251780476;0.26392961876832843;2.0737327188940093;0.6032677000418936;14.742354419773774;0.9049015500628403;0.3770423125261835;1.0934227063259323;0.1508169250104734;0.0;19;0.7163803937997487;4.0;13.6;0.5127775450356096;0.4166666666666667
Estevão;13;9;10.3;7.9;6.9;139.0;19.0;92.0;145.0;762.0;182.0;84.0;16.0;4;0;2097.0;0.5579399141630901;0.38626609442060084;0.4420600858369099;0.33905579399141633;0.296137339055794;5.965665236051502;0.8154506437768241;3.948497854077253;6.223175965665236;32.7038626609442;7.8111587982832615;3.6051502145922747;0.6866952789699571;0.17167381974248927;0.0;22;0.9442060085836911;2.6999999999999993;17.200000000000003;0.738197424892704;0.46153846153846156
Pablo Vegetti;12;2;12.8;11.2;2.6;47.0;5.0;37.0;10.0;393.0;17.0;3.0;21.0;7;0;2986.0;0.3616878767582049;0.060281312793034156;0.38580040187541864;0.3375753516409913;0.0783657066309444;1.4166108506363027;0.1507032819825854;1.115204286671132;0.3014065639651708;11.845277963831213;0.5123911587407903;0.09042196918955123;0.6329537843268587;0.21098459477561957;0.0;14;0.42196918955123913;-0.8000000000000007;15.4;0.4641661085063631;0.17647058823529413
Raphael Veiga;11;3;10.700000000000001;7.5;7.1000000000000005;155.0;9.0;168.0;57.0;783.0;42.0;20.0;17.0;3;1;2478.0;0.39951573849878935;0.1089588377723971;0.3886198547215497;0.27239709443099275;0.25786924939467315;5.62953995157385;0.3268765133171913;6.101694915254237;2.070217917675545;28.438256658595645;1.5254237288135593;0.7263922518159805;0.6174334140435835;0.1089588377723971;0.03631961259079903;14;0.5084745762711864;0.29999999999999893;17.8;0.6464891041162228;0.47619047619047616
Pedro;11;5;10.6;6.6000000000000005;2.2;48.0;11.0;36.0;16.0;255.0;36.0;15.0;15.0;3;0;1653.0;0.5989110707803993;0.27223230490018147;0.5771324863883848;0.3593466424682396;0.11978221415607987;2.613430127041742;0.5989110707803993;1.9600725952813067;0.8711433756805809;13.883847549909255;1.9600725952813067;0.8166969147005445;0.8166969147005445;0.16333938294010888;0.0;16;0.8711433756805809;0.40000000000000036;12.8;0.6969147005444647;0.4166666666666667
Luciano;11;2;7.0;5.3;2.2;60.0;10.0;91.0;24.0;716.0;36.0;15.0;23.0;13;1;2302.0;0.4300608166811469;0.07819287576020852;0.2736750651607298;0.20721112076455256;0.08601216333622937;2.3457862728062553;0.3909643788010426;3.5577758470894874;0.9383145091225022;27.993049522154646;1.4074717636837533;0.5864465682015638;0.8992180712423979;0.5082536924413554;0.03909643788010426;13;0.5082536924413554;4.0;9.2;0.35968722849695917;0.4166666666666667
Lucas Moura;10;6;4.9;3.3000000000000003;2.9;103.0;12.0;131.0;87.0;860.0;100.0;48.0;17.0;4;0;2246.0;0.40071237756010686;0.2404274265360641;0.1963490650044524;0.13223508459483527;0.11620658949243098;4.127337488869101;0.4808548530721282;5.2493321460374;3.4861976847729297;34.46126447016919;4.007123775601069;1.9234194122885129;0.6812110418521816;0.16028495102404275;0.0;16;0.641139804096171;5.1;7.800000000000001;0.3125556544968834;0.48
Hulk;10;5;8.5;5.4;2.0;80.0;13.0;57.0;33.0;519.0;78.0;33.0;8.0;5;1;1806.0;0.49833887043189373;0.24916943521594687;0.42358803986710963;0.26910299003322263;0.09966777408637874;3.98671096345515;0.6478405315614618;2.840531561461794;1.6445182724252494;25.86378737541528;3.8870431893687707;1.6445182724252494;0.39867109634551495;0.24916943521594687;0.04983388704318937;15;0.7475083056478405;1.5;10.5;0.5232558139534884;0.4230769230769231
Rodrigo Garro;10;10;6.1000000000000005;5.3;7.2;191.0;15.0;248.0;62.0;1329.0;69.0;27.0;29.0;8;0;2995.0;0.3005008347245409;0.3005008347245409;0.18330550918196994;0.15926544240400667;0.21636060100166943;5.739565943238731;0.4507512520868113;7.452420701168614;1.8631051752921535;39.93656093489148;2.0734557595993324;0.8113522537562604;0.8714524207011686;0.24040066777963273;0.0;20;0.6010016694490818;3.8999999999999995;13.3;0.39966611018363946;0.391304347826087
José López;10;2;9.5;9.5;3.2;50.0;6.0;41.0;32.0;355.0;37.0;14.0;26.0;8;0;2140.0;0.4205607476635514;0.08411214953271029;0.39953271028037385;0.39953271028037385;0.13457943925233645;2.102803738317757;0.2523364485981308;1.7242990654205608;1.3457943925233646;14.929906542056074;1.5560747663551402;0.588785046728972;1.0934579439252337;0.33644859813084116;0.0;12;0.5046728971962616;0.5;12.7;0.5341121495327102;0.3783783783783784
Matheusinho;9;7;6.5;6.5;5.1;151.0;15.0;159.0;68.0;1187.0;147.0;67.0;25.0;8;0;3494.0;0.2318259874069834;0.18030910131654265;0.16742987979393245;0.16742987979393245;0.13136805953062392;3.889524899828277;0.3863766456783057;4.09559244419004;1.7515741270749856;30.575271894676586;3.786491127647395;1.7258156840297654;0.6439610761305095;0.206067544361763;0.0;16;0.412135088723526;2.5;11.6;0.29879793932455634;0.4557823129251701
Rafael Borré;9;3;13.1;12.4;0.8;35.0;4.0;42.0;21.0;374.0;32.0;14.0;13.0;6;0;1870.0;0.43315508021390375;0.1443850267379679;0.6304812834224598;0.5967914438502674;0.038502673796791446;1.6844919786096255;0.1925133689839572;2.021390374331551;1.0106951871657754;18.0;1.5401069518716577;0.6737967914438503;0.625668449197861;0.2887700534759358;0.0;12;0.5775401069518716;-4.1;13.9;0.6689839572192513;0.4375
